team,player,status,position,importance,expected_return,source,updated_at,minutes,starts,influence,creativity,threat,expected_goals,expected_assists
Arsenal,Albert Sambi Lokonga,available,MF,0.62,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Andre Harriman-Annous,available,MF,0.62,nan,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Benjamin White,doubtful,DF,0.7615999999999999,chance_next_round:75%,fpl,2026-02-23T17:34:59+00:00,409.0,5.0,111.4,92.7,46.0,0.43,0.49
Arsenal,Brayden Clarke,available,DF,0.58,nan,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Bukayo Saka,doubtful,MF,0.98,chance_next_round:75%,fpl,2026-02-23T17:34:59+00:00,1725.0,19.0,489.2,680.7,683.0,6.58,5.36
Arsenal,Christian Nørgaard,available,MF,0.6337777777777778,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,32.0,0.0,15.6,0.4,7.0,0.05,0.0
Arsenal,Cristhian Mosquera,available,DF,0.7424666666666667,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,552.0,5.0,126.0,37.3,8.0,0.0,0.46
Arsenal,David Raya Martín,available,GK,0.98,nan,fpl,2026-02-23T17:34:59+00:00,2520.0,28.0,410.8,33.4,0.0,0.0,0.06
Arsenal,Declan Rice,available,MF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,2325.0,26.0,690.0,839.5,265.0,2.95,5.97
Arsenal,Eberechi Eze,available,MF,0.98,nan,fpl,2026-02-23T17:34:59+00:00,1224.0,14.0,330.2,211.7,349.0,3.48,2.03
Arsenal,Ethan Nwaneri,available,MF,0.6628222222222222,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,165.0,0.0,8.6,22.5,24.0,0.23,0.08
Arsenal,Fábio Ferreira Vieira,available,MF,0.62,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Gabriel Fernando de Jesus,available,FW,0.8715555555555556,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,304.0,2.0,100.6,24.9,207.0,1.75,0.19
Arsenal,Gabriel Martinelli Silva,available,MF,0.9396666666666668,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,717.0,8.0,147.2,128.4,316.0,3.42,0.9
Arsenal,Gabriel dos Santos Magalhães,available,DF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,1895.0,21.0,621.6,104.5,192.0,1.84,1.02
Arsenal,Ismeal Kabia,available,MF,0.62,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Jakub Kiwior,available,DF,0.58,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Josh Nichols,available,DF,0.58,nan,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Jurriën Timber,available,DF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,2235.0,25.0,453.0,369.5,348.0,4.3,1.44
Arsenal,Kai Havertz,doubtful,FW,0.7459111111111112,chance_next_round:75%,fpl,2026-02-23T17:34:59+00:00,156.0,2.0,32.2,32.6,22.0,0.21,0.06
Arsenal,Karl Hein,available,GK,0.72,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Kepa Arrizabalaga Revuelta,available,GK,0.72,nan,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Leandro Trossard,available,MF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,1590.0,17.0,399.4,433.9,419.0,4.82,2.57
Arsenal,Maldini Kacurri,available,DF,0.58,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Marli Salmon,available,DF,0.58,nan,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Martin Ødegaard,available,MF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,1070.0,13.0,259.6,434.7,144.0,1.01,2.91
Arsenal,Martín Zubimendi Ibáñez,available,MF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,2355.0,27.0,521.6,318.0,238.0,2.56,1.86
Arsenal,Max Dowman,injured,MF,0.6353555555555556,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,27.0,0.0,1.0,0.8,26.0,0.14,0.02
Arsenal,Mikel Merino Zazón,injured,MF,0.98,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,996.0,10.0,304.4,187.0,237.0,2.99,1.45
Arsenal,Myles Lewis-Skelly,available,DF,0.6616444444444445,nan,fpl,2026-02-23T17:34:59+00:00,311.0,1.0,31.2,45.5,18.0,0.05,0.06
Arsenal,Noni Madueke,available,MF,0.9671111111111113,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,829.0,11.0,182.2,242.3,284.0,0.96,1.98
Arsenal,Piero Hincapié,available,DF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,1303.0,15.0,330.0,156.7,53.0,0.33,1.35
Arsenal,Riccardo Calafiori,available,DF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,1347.0,17.0,228.6,109.3,230.0,2.77,0.4
Arsenal,Tommy Setford,available,GK,0.72,nan,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Viktor Gyökeres,available,FW,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,1726.0,21.0,373.6,192.4,583.0,8.18,1.69
Arsenal,William Saliba,available,DF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,1894.0,22.0,365.2,124.5,39.0,0.62,0.61
Aston Villa,Alysson Edward Franco da Rocha dos Santos,injured,MF,0.6237777777777778,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,16.0,0.0,0.0,0.5,4.0,0.0,0.01
Aston Villa,Amadou Onana,available,MF,0.98,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,1198.0,15.0,311.0,82.4,108.0,0.84,0.27
Aston Villa,Andrés García,available,DF,0.5847333333333333,chance_next_round:100%,fpl,2026-02-23T17:34:59+00:00,33.0,0.0,0.8,1.6,0.0,0.0,0.01
Aston Villa,Ben Broggio,available,MF,0.62,chance_next_round:0%,fpl,2026-02-23T17:34:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
